id,published_date,company,order_type,provisions,product,title,url,pdf_url,fiscal_year
"041427","2025-03-14","ダニの捕獲効果等を標ぼうする商品の販売事業者2社","措置命令","第5条第1号(優良誤認) / 第7条第1項","","ダニの捕獲効果等を標ぼうする商品の販売事業者2社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/041427/","","2024"
"041261","2025-02-28","長谷川産業株式会社","措置命令","第5条第2号(有利誤認) / 第7条第1項","","長谷川産業株式会社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/041261/","","2024"
"040891","2025-01-30","株式会社東亜産業","課徴金納付命令","第8条第1項","ウイルスシャットアウト","株式会社東亜産業に対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/040891/","","2024"
"040838","2025-01-28","アドパワー・ソリューションズ株式会社","課徴金納付命令","第8条第1項","","アドパワー・ソリューションズ株式会社に対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/040838/","","2024"
"040387","2024-12-17","株式会社デザインワード","措置命令","第5条第2号(有利誤認) / 第7条第1項","アフロートネイルスクール","株式会社デザインワードに対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/040387/","","2024"
"040302","2024-12-12","自転車用ヘルメットを標ぼうする商品の販売事業者3社","措置命令","第5条第1号(優良誤認) / 第7条第1項","","自転車用ヘルメットを標ぼうする商品の販売事業者3社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/040302/","","2024"
"040138","2024-12-03","北海道電力株式会社","課徴金納付命令","第8条第1項","","北海道電力株式会社に対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/040138/","","2024"
"039990","2024-11-13","大正製薬株式会社","措置命令","第5条第3号(ステルスマーケティング告示) / 第7条第1項","NMN taisho","大正製薬株式会社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/039990/","","2024"
"038980","2024-08-09","RIZAP株式会社","措置命令","第5条第1号(優良誤認) / 第7条第1項","chocoZAP","RIZAP株式会社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/038980/","","2024"
"038974","2024-08-07","株式会社ジェイコムウエスト","措置命令","第5条第2号(有利誤認) / 第7条第1項","J:COMガス まとめトク料金コース","株式会社ジェイコムウエストに対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/038974/","","2024"
"038866","2024-08-02","富士通クライアントコンピューティング株式会社","課徴金納付命令","第8条第1項","","富士通クライアントコンピューティング株式会社に対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/038866/","","2024"
"038840","2024-07-30","株式会社ファッズ","措置命令","第5条第2号(有利誤認) / 第7条第1項","新時代44","株式会社ファッズに対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/038840/","","2024"
"038766","2024-07-24","株式会社WECARS","措置命令","第5条第1号(優良誤認) / 第7条第1項","","株式会社WECARSに対する景品表示法に基づく措置命令について (株式会社ビッグモーターによる中古自動車の修復歴に関する不当表示)","https://www.caa.go.jp/notice/entry/038766/","","2024"
"038627","2024-07-19","株式会社キャリカレ","措置命令","第5条第2号(有利誤認) / 第7条第1項","","株式会社キャリカレに対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/038627/","","2024"
"038178","2024-06-07","医療法人社団祐真会","措置命令","第5条第3号(ステルスマーケティング告示) / 第7条第1項","マチノマ大森内科クリニック","医療法人社団祐真会に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/038178/","","2024"
"038015","2024-05-30","株式会社那覇直葬センター","措置命令","第5条第2号(有利誤認) / 第7条第1項","火葬プラン","株式会社那覇直葬センターに対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/038015/","","2024"
"037971","2024-05-28","中国電力株式会社","課徴金納付命令","第8条第1項","ぐっとずっと。プラン スマートコース","中国電力株式会社に対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/037971/","","2024"
"037589","2024-04-26","エステー株式会社","措置命令","第5条第1号(優良誤認) / 第7条第1項","MoriLabo ナイトケア花粉バリアポット","エステー株式会社に対する景品表示法に基づく措置命令について","https://www.caa.go.jp/notice/entry/037589/","","2024"
"036746","2024-03-26","株式会社バウムクーヘン","課徴金納付命令","第8条第1項","アイズワン","株式会社バウムクーヘンに対する景品表示法に基づく課徴金納付命令について","https://www.caa.go.jp/notice/entry/036746/","","2023"
